Year,Average Global Temperature Absoulate
1961,14.16305319
1962,13.98652381
1963,13.99395745
1964,13.92994149
1965,13.7529734
1966,14.10550521
1967,13.88916754
1968,13.80089005
1969,14.15794211
1970,14.09248677
1971,13.79948691
1972,13.91509375
1973,14.22936788
1974,13.83696875
1975,13.97650532
1976,13.75408466
1977,14.16581622
1978,14.06962963
1979,14.23379894
1980,14.24728796
1981,14.17864398
1982,14.17649479
1983,14.34459474
1984,14.08011702
1985,14.07128723
1986,14.15115789
1987,14.40502105
1988,14.49008947
1989,14.25616842
1990,14.55525926
1991,14.36816489
1992,14.23649038
1993,14.21598565
1994,14.60951442
1995,14.6292381
1996,14.27922857
1997,14.54399517
1998,14.97125238
1999,14.74330144
2000,14.66978947
2001,14.85015385
2002,14.925
2003,14.84422897
2004,14.77784038
2005,14.85299057
2006,14.87657674
2007,15.02254839
2008,14.80841038
2009,14.91056604
2010,15.09904186
2011,14.82139171
2012,14.90222326
2013,14.93119907
2014,15.11481481
2015,15.26977315
2016,15.43952113
2017,15.28078505
2018,15.30211268
2019,15.44306103
2020,15.55203774
2021,15.34353052
2022,15.38211268
